timestamp,model,host,port,tp,gpu_mem,max_num_seqs,max_num_batched_tokens,block_size,mode_chunked_prefill,mode_prefix_caching,disable_custom_all_reduce,concurrency,num_requests,max_new_tokens,temperature,success_count,error_count,wall_time_s,total_prompt_tokens,total_completion_tokens,total_tokens,throughput_tokens_per_s,goodput_tokens_per_s,reqs_per_s,notes
1761790407,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,64,1024,16,1,0,1,16,200,128,0.0,200,0,56.45307683944702,4760,25600,30360,453.47395453407427,453.47395453407427,3.542765269797455,
1761790547,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,64,1024,16,0,1,1,16,200,128,0.0,200,0,56.258726596832275,4760,25600,30360,455.04051635326994,455.04051635326994,3.5550040340099214,
1761790647,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,64,1024,32,1,0,1,16,200,128,0.0,200,0,56.87058067321777,4760,25600,30360,450.1448674684604,450.1448674684604,3.516756777097347,
1761790746,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,64,1024,32,0,1,1,16,200,128,0.0,200,0,56.92618656158447,4760,25600,30360,449.7051628832566,449.7051628832566,3.5133215850254422,
1761790845,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,64,2048,16,1,0,1,16,200,128,0.0,200,0,56.35920810699463,4760,25600,30360,454.229235290175,454.229235290175,3.548665900704492,
1761790942,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,64,2048,16,0,1,1,16,200,128,0.0,200,0,56.58540368080139,4760,25600,30360,452.41349066642266,452.41349066642266,3.534480395831427,
1761791042,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,64,2048,32,1,0,1,16,200,128,0.0,200,0,56.778488874435425,4760,25600,30360,450.8749793713941,450.8749793713941,3.5224607763390163,
1761791140,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,64,2048,32,0,1,1,16,200,128,0.0,200,0,56.82265377044678,4760,25600,30360,450.52454085336035,450.52454085336035,3.5197229754168777,
1761791239,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,64,4096,16,1,0,1,16,200,128,0.0,200,0,56.58520150184631,4760,25600,30360,452.4151071400656,452.4151071400656,3.5344930245317623,
1761791336,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,64,4096,16,0,1,1,16,200,128,0.0,200,0,56.29221248626709,4760,25600,30360,454.7698317284174,454.7698317284174,3.552889310378261,
